English,Turkish,Notes
Actionable data,İşlemeye uygun veri,
Adopt infrastructure,Altyapıyı kullanmak,
Agile Software Developer,Çevik Yazılım Geliştirme,
Alerting,Uyarı,
Application,Uygulama,
Automation,Otomasyon,
Appliance,Cihaz,
Audit Log,Denetim Kaydı,
Bare-metal,Bare-metal,
Best practice,Örnek uygulama,
Blue-green deployment,Blue-green deployment,
Bundling,Paketleme,
Button,Düğme,
Capability,Kabiliyet,
Case-insensitive,Büyük-küçük harf duyarsız,
Challenge,Zorluk,
Cheat sheet,Kopya kağıdı,
Cloud,Bulut,
Cloud Computing,Bulut Bilişim,
Cloud Infrastructure,Bulut Altyapısı,
Cloud Native,Cloud Native,Çevrilmedi
Cloud native computing,Cloud native bilişimi,
Cloud native stack,Cloud native yığını,
Cluster,Küme,
Client-Server,İstemci-Sunucu,
Commit,Commit,Çevrilmedi
Component,Bileşen,
Compute resources,Bilişim Kaynakları,
Computer science,Bilgisayar bilimi,
Computing capacity,Bilgi işlem kapasitesi,
Computing power,Bilgi İşlem Gücü,
Concept,Kavram,
Config,Yapılandırma,
Container,Konteyner,
Containerization,Konteynerleştirme,
Containerized,Konteynerleştirilmiş,
Continuous delivery,Sürekli teslimat,
Continuous deployment,Sürekli dağıtım,
Continuous integration,Sürekli entegrasyon,
Contributor,Katkı verenler,
Contributor License Agreement (CLA),Katılımcı Lisans Sözleşmesi,
Control plane,Kontrol düzlemi,
Controller,Denetleyici,
Core,Çekirdek,
CPU,İşlemci,
Datacenter,Veri merkezi,
Debugging,Hata ayıklama,
Declarative,Bildirimsel,
Decoupled,Ayrık,
Dependency,Bağımlılık,
Deployment,Dağıtım,
Deviation,Sapma,
DevOps,DevOps,
Digestible,Kolay anlaşılabilir,
Disk,Disk,
Distributed,Dağıtık,
Distributed apps,Dağıtık uygulamalar,
Distributed system,Dağıtık sistem,
Downtime,Sistem kesintisi,
Drift,Sapma,
e.g.,örn.,
Event-driven architecture,Olaya dayalı mimari,
Extensibility,Genişletilebilirlik,
Feature-branching,Feature-branching,
Format,Biçimlendirme,
Global,Global,Çevrilmedi
Glossary,Sözlük,Oylama sonucu seçildi
Guideline,Kural,
Healing,İyileştirme,
Hybrid cloud,Hibrit bulut,
Identifier,Tanımlayıcı,
Image,İmaj,
Immutability,Değiştirilemezlik,
Immutable infrastructure,Sabit altyapı,
Infrastructure,Altyapı,
Insight,Sezgi,
Internet,Internet,
Issue,Issue,Çevrilmedi - oylama sonucu seçildi
IT,BT,
Kernel,Kernel,
Lifecycle,Yaşam döngüsü,
Line break,Satır sonu,
Load balancer,Yük dengeleyici,
Load balancing,Yük dengeleme,
Localization,Yerelleştirme,
Maintainer,Proje geliştiricileri,
Manual,Elle (elle yönetme). Sıfat olarak: manuel,
Microservice,Mikroservis,
Monitoring,Takip etme,
Monolithic application,Monolitik uygulama,
Network,Ağ,
Node,Düğüm,
Observability,Gözlemlenebilirlik,
Observe,Gözlemlemek,
On-demand,İsteğe Bağlı,
On-premise,Şirket içi,
Operation,Operasyon,
Operational,Operasyonel,
Orchestration,Orkestrasyon,
Orchestrator,Orkestratör,
Organization,Organizasyon,
Outsourcing,Dış Kaynak Kullanımı,
Pay for usage,Kullanıma göre ödeme yapmak,
Performance monitoring,Performans izleme,
Physical location,Fiziksel Konum,
Planning,Planlama,
Pod,Pod,
Portability,Taşınabilirlik,
Practitioner,Kullanıcı,
Pressing,Önemli,
Private Cloud,Özel Bulut,
Proactively,Etkin ve öngörülü,
Process,İşlem,
Product or service,Ürün veya Hizmet,
Production environment,Canlı ortam,
Production traffic,Canlı trafik,
Provisioning,Kaynak tahsisi,
Public Cloud,Genel Bulut,
Pull Request,Pull Request,Çevrilmedi
Reliability,Güvenilirlik,
Reliable,Güvenilir,
Remote,Uzaktaki / uzaktan,
Repository,Repository,Çevrilmedi - oylama sonucu seçildi
Reproducible,Tekrarlanabilir,
Resources,Kaynaklar,
Review,Gözden geçirme,
Sandboxed,İzole,
Scalability,Ölçeklenebilirlik,
Scale,Ölçeklemek,
Script,Betik,
Security,Güvenlik,
Self-contained application,Bağımsız uygulama,
Self-heal,Kendi kendini iyileştirme,
Semantic,Anlama bağlı,
Serverless,Sunucusuz,
Service,Servis,
Service meshes,Servis ağları,
Site Reliability Engineering,Site Güvenilirlik Mühendisliği / SRE,
Site Reliability Engineers,SRE mühendisleri,
Source control system,Kaynak kontrol sistemi,
Spell check,İmla kontrolü,
Stack,Yığın,
Stateful app,Durum bilgisine sahip uygulama,
Style guide,Stil kılavuzu,
System call,Sistem çağrısı,
Tab,Sekme,
Tag,Etiket,
Term,Terim,
Toil,Uğraş,
Transaction,İşlem,
Triage,Tasnif,
Troubleshooting,Sorun giderme,
Trunk-based development,Gövde tabanlı geliştirme,
Unique,Benzersiz,
Usage,Kullanım,
Vendor,Şirket,
Verifier,Doğrulayıcı,
Version control,Sürüm kontrolü,
Vigilant,Farkında,
Virtual Machines,Sanal Makineler,
Waterfall-like Project,Şelale Tarzı Proje,
Waterfall-like Strategy,Şelale Tarzı Strateji,
Working Group,Çalışma Grubu,
Workload,İş yükü,
Error Prone,Hata Eğilimli,
Cumbersome,Külfetli,
Workflow,İş akışı,
Automated,Otomatik,
Exacerbate,Kötüleştirme,
Release,Sürüm,
Security Posture,Güvenlik Duruşu,
Silo,Silo,
Security Mishaps,Güvenlik Açıklıkları,
Handoff,Aktarım / İş Aktarımı,

